precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi"
35,SUCEAVA,"GRĂDINIŢA DE COPII NR. 1 STRAJA",463,STRAJA,150294,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:21",1284,1259,0,3,22,745,720,0,3,22,725,20,1400,655,204,65,414,21,21
35,SUCEAVA,"GRĂDINIŢA DE COPII NR. 2 STRAJA",466,STRAJA,150294,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:27",996,986,0,8,2,557,547,0,8,2,547,10,1135,578,74,124,335,6,8
35,SUCEAVA,"GRĂDINIŢA DE COPII NR. 3 STRAJA",464,STRAJA,150294,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:17",1128,1099,0,9,20,661,632,0,9,20,646,15,1200,539,160,68,362,12,44
35,SUCEAVA,"PRIMĂRIA COMUNEI STRAJA",465,STRAJA,150294,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:57",1163,1135,0,11,17,674,646,0,11,17,657,17,1300,626,162,75,394,10,16
