precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"ŞCOALA CU CLASELE I-VIII DEAGURILE",448,RECEA,18411,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:01",715,693,0,8,14,405,383,0,8,14,382,23,800,395,121,13,248
3,ARGEŞ,"ŞCOALA GENERALA NR. 1 RECEA",447,RECEA,18411,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:33:12",1457,1374,2,40,41,858,782,0,40,36,827,31,1437,579,286,15,526
