precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ION COSTIN-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PETRE FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","LISOVSCHI ADINA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL",221,CREVEDIA,102286,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:46",734,648,2,74,10,500,416,0,74,10,477,23,720,220,150,255,72
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL",224,CREVEDIA,102286,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:16:09",1543,1381,7,151,4,1040,885,0,151,4,1007,32,1510,471,479,385,143
16,DÂMBOVIŢA,"ŞCOALA CU CLASELE I-IV",222,CREVEDIA,102286,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:54:55",430,399,1,26,4,338,308,0,26,4,324,14,440,102,63,247,14
16,DÂMBOVIŢA,"ŞCOALA GENERALĂ CREVEDIA",220,CREVEDIA,102286,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:38",1307,1273,4,23,7,932,902,0,23,7,896,36,1398,466,286,525,85
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DÂRZA",223,CREVEDIA,102286,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:23",1576,1515,3,51,7,1037,978,1,51,7,1019,18,1660,623,421,355,243
