precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi","SURULESCU IOSIF-DAN-voturi","CAZAMIR ELENA-voturi"
22,HUNEDOARA,"CANTINA DE AJUTOR SOCIAL",169,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:36",1291,1286,0,5,0,524,519,0,5,0,500,24,1400,876,20,246,19,58,113,18,0,10,12,4
22,HUNEDOARA,"CLUBUL COPIILOR ȘI ELEVILOR",182,"MUNICIPIUL VULCAN",87175,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:36:39",1014,1004,1,9,0,447,438,0,9,0,424,23,1100,653,12,151,14,61,128,3,1,31,17,6
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM NORMAL DIN CADRUL ȘCOLII GIMNAZIALE NR. 6",179,"MUNICIPIUL VULCAN",87175,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:59:29",1226,1216,0,10,0,391,381,0,10,0,370,21,1300,909,11,182,8,54,85,17,0,7,3,3
22,HUNEDOARA,"GRĂDINIȚA PN+PP NR. 1",166,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:42",1131,1116,0,15,0,456,441,0,15,0,438,18,1300,844,22,182,16,55,111,10,5,13,20,4
22,HUNEDOARA,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU” VULCAN",171,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:04",1004,995,1,8,0,394,386,0,8,0,383,11,1100,706,11,166,9,30,111,11,4,23,12,6
22,HUNEDOARA,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU” VULCAN",170,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:16",1004,994,1,9,0,362,353,0,9,0,347,15,1100,738,10,156,8,49,82,8,0,20,9,5
22,HUNEDOARA,"SALA DE SPORT",175,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:44:49",1378,1371,1,6,0,537,531,0,6,0,513,24,1500,963,11,180,26,71,167,17,2,19,13,7
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 3",184,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:23:39",1309,1307,0,1,1,614,612,0,1,1,591,23,1526,912,8,240,16,106,166,12,4,24,7,8
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 4",168,"MUNICIPIUL VULCAN",87175,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:47:11",972,965,1,6,0,390,384,0,6,0,371,19,1100,710,18,167,18,54,69,10,0,15,13,7
22,HUNEDOARA,"ȘCOALĂ GIMNAZIALĂ NR. 4",167,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:51",975,968,1,6,0,374,368,0,6,0,360,14,1100,726,28,150,10,64,77,13,1,6,9,2
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 5",172,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:59:29",1254,1249,0,5,0,493,488,0,5,0,466,27,1400,907,20,214,17,49,114,8,1,22,12,9
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 5",173,"MUNICIPIUL VULCAN",87175,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:18:02",1407,1397,2,7,1,520,511,1,7,1,493,26,1500,980,20,187,23,87,110,11,2,27,13,13
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 6",176,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:18",1162,1153,0,9,0,424,415,0,9,0,385,39,1300,876,4,171,11,71,94,21,4,4,3,2
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 6",177,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:42",1244,1235,0,9,0,399,390,0,9,0,378,21,1300,901,6,164,11,73,91,16,1,6,4,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 6,",178,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:44",1340,1330,1,9,0,433,424,0,9,0,413,20,1500,1067,11,152,15,71,110,20,2,18,10,4
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ TEODORA LUCACIU",181,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:22",941,935,0,6,0,397,391,0,6,0,378,19,1000,603,8,160,16,43,95,12,1,17,18,8
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ TEODORA LUCACIU",180,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:00",1118,1111,1,6,0,411,405,0,6,0,397,14,1200,789,16,183,13,61,75,21,2,14,9,3
22,HUNEDOARA,"ȘCOALA NR. 2",183,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:19",795,789,0,6,0,368,362,0,6,0,354,14,900,532,5,163,7,57,86,18,3,7,7,1
22,HUNEDOARA,"STADIONUL CENTRAL",174,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:59",1198,1187,2,6,3,497,488,0,6,3,479,18,1300,803,23,182,14,84,128,10,6,16,7,9
