precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SPERIUŞ NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GRIGORAN GEORGE-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","MIEREANU ION-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"SCOALA GENERALA GOLUMBU",348,FĂRCAŞ,72276,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:19:52",675,656,0,18,1,463,444,0,18,1,428,35,800,337,116,102,210
17,DOLJ,"ȘCOALA GIMNAZIALĂ FĂRCAȘ",347,FĂRCAŞ,72276,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:47",1065,995,0,59,11,667,597,0,59,11,662,5,1011,344,143,202,317
