precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂNĂSEANU MARIAN-ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"LOCALUL ŞCOLII CU CLASELE I-IV NECŞEŞTI",216,NECŞEŞTI,153437,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:06",415,381,0,19,15,268,234,0,19,15,264,4,430,162,264
36,TELEORMAN,"LOCALUL ŞCOLII CU CLASELE I-VIII GÂRDEŞTI",217,NECŞEŞTI,153437,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:44",351,327,0,7,17,215,191,0,7,17,191,5,377,162,191
