precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÁNTÓ ROLLAND-GELLÉRT-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŢÎRLEA NICOLAE-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MUREŞAN GHEORGHE-DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MORAR VASILE-CĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BUZGĂU CLAUDIU-ALEXANDRU-UNIUNEA SALVAȚI ROMÂNIA-voturi"
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:06:15",448,429,0,7,12,293,274,0,7,12,290,3,500,207,158,22,3,104,3
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ” VASILE BREBAN ”” CRIȘENI",131,CRIŞENI,140823,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:44:53",1691,1633,0,36,22,1210,1152,0,36,22,1195,15,1735,525,30,465,18,642,40
33,SĂLAJ,"ȘCOALA PRIMARĂ GÎRCEIU",133,CRIŞENI,140823,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:05",720,683,3,14,20,459,425,0,14,20,451,8,770,311,35,161,13,239,3
