precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PLOEŞTEANU ALIN-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1 FRASINET",133,FRĂSINET,102838,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:45",805,754,0,5,46,577,526,0,5,46,568,9,883,306,568
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.1 LUPTATORI",134,FRĂSINET,102838,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:38:12",434,401,0,9,24,320,287,0,9,24,315,5,479,159,315
