precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SZÁSZ LEVENTE-LORÁND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
28,MUREŞ,"CAMINUL CULTURAL SÂNGEORGIU DE PĂDURE",190,"ORAŞ SÂNGEORGIU DE PĂDURE",119331,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:09",1284,1252,1,4,27,579,547,1,4,27,516,63,1400,821,516
28,MUREŞ,"CAMINUL CULTURAL SÂNGEORGIU DE PĂDURE",189,"ORAŞ SÂNGEORGIU DE PĂDURE",119331,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:33",1202,1170,0,1,31,627,595,0,1,31,587,40,1320,693,587
28,MUREŞ,"LICEUL TEHNOLOGIC” SFÂNTUL GHEORGHE” SÂNGEORGIU DE PĂDURE",191,"ORAŞ SÂNGEORGIU DE PĂDURE",119331,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:07",1332,1280,4,10,38,634,586,0,10,38,586,48,1400,766,586
28,MUREŞ,"SCOALA GIMNAZIALĂ BEZID",192,"ORAŞ SÂNGEORGIU DE PĂDURE",119331,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:29",520,488,4,9,19,289,259,2,9,19,274,15,563,274,274
