precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢUVICHI VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","CARNARIU IANCU-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LULEA FRANCISC-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHERGHEL PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","FERARU IOAN-DANIEL-PARTIDUL MIȘCAREA POPULARĂ-voturi","APETRII COSMIN-STELIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","URSĂRESCU ANDREI-IULIAN-PARTIDUL ROMÂNIA MARE-voturi"
29,NEAMŢ,"PRIMARIA TUPILAŢI",462,TUPILAŢI,124750,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:47",595,591,0,0,4,368,364,0,0,4,345,23,700,332,2,22,12,235,7,38,29
29,NEAMŢ,"SCOALA CU CLASELE I-VIII",463,TUPILAŢI,124750,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:51",273,267,0,5,1,149,143,0,5,1,142,7,305,156,6,14,6,96,3,10,7
29,NEAMŢ,"SCOALA CU CLASELE I-VIII",461,TUPILAŢI,124750,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:07",872,865,1,3,3,510,504,0,3,3,480,24,900,396,17,55,5,287,13,31,72
