precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CUPĂREANU ARMAND-COSTINEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BUDEŞTI",215,DICULEŞTI,174502,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:37:56",622,622,0,0,0,289,289,0,0,0,272,17,690,401,272
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII BĂBENI-OLTEŢU",214,DICULEŞTI,174502,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:06:02",874,864,0,10,0,432,422,0,10,0,401,31,950,518,401
