precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CALENCIUC MARIAN-RĂZVAN-PARTIDUL SOCIAL DEMOCRAT-voturi","OROŞ IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SADOSCHI GABRIELA-IULIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VEBER VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL NOU",412,OSTRA,149655,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:19",1741,1730,0,1,10,809,798,0,1,10,786,23,1838,1029,92,541,136,17
35,SUCEAVA,"CASA DE TIP FAMILIAL ”CIREŞARII”",413,OSTRA,149655,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:25",1021,1016,0,3,2,529,524,0,3,2,505,24,1200,671,86,366,42,11
