precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"CĂMIN CULTURAL SĂLACEA",534,SĂLACEA,30988,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:20",946,908,5,0,33,618,584,1,0,33,589,29,1041,423,29,496,64
5,BIHOR,"CĂMINUL CULTURAL",536,SĂLACEA,30988,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:03",605,580,3,1,21,374,352,0,1,21,364,10,666,292,16,335,13
5,BIHOR,"SCOALĂ GENERALĂ",535,SĂLACEA,30988,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:11:11",966,924,0,2,40,628,586,0,2,40,605,23,1017,389,46,532,27
