precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECHITA EUGEN-PARTIDUL SOCIAL DEMOCRAT-voturi","NICULĂESĂ CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CIOBANU VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","HĂLĂUCĂ BOBI-VASILE-ALIANȚA NAȚIONAL CREȘTINĂ-voturi"
7,BOTOŞANI,"CĂMINUL CULTURAL ”PROF. IOAN COBÂLĂ ” DRĂGUȘENI",237,DRĂGUŞENI,37173,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:29",1838,1836,0,2,0,586,584,0,2,0,558,28,2000,1414,390,42,113,13
7,BOTOŞANI,"SCOALA CU CLASELE I-IV PODRIGA",238,DRĂGUŞENI,37173,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:24",1131,1130,0,1,0,198,197,0,1,0,182,16,1201,1003,145,5,25,7
7,BOTOŞANI,"SCOALA CU CLASELE I-IV SARATA",240,DRĂGUŞENI,37173,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:52:16",142,142,0,0,0,54,54,0,0,0,49,5,218,164,43,2,4,0
7,BOTOŞANI,"SCOALA PRIMARĂ NR. 2",239,DRĂGUŞENI,37173,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:31",889,889,0,0,0,211,211,0,0,0,194,17,1005,794,176,1,13,4
