precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR - SENS-voturi"
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION GHE. PLEŞA”",228,ALMĂJ,70566,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:44:06",1194,1050,0,130,14,891,747,0,130,14,854,37,1112,221,36,524,181,113
17,DOLJ,"ŞCOALA PRIMARĂ ŞITOAIA",229,ALMĂJ,70566,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:42:30",572,502,0,62,8,446,376,0,62,8,429,17,600,154,6,297,76,50
