precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"SALA SPORT",380,VURPĂR,145998,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:34",1300,1296,1,3,0,667,664,0,3,0,622,45,1420,753,271,195,123,33
34,SIBIU,"ŞCOALA GIMNAZIALĂ",381,VURPĂR,145998,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:30",893,893,0,0,0,404,404,0,0,0,388,16,983,579,118,140,106,24
