precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","AVRAM SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POP IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ NR. 2 LUNCA LEŞULUI",161,LEŞU,33514,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:13",947,925,0,7,15,629,607,0,7,15,607,22,1000,371,241,242,124
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ NR. 1 - LEȘU",160,LEŞU,33514,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:05",1343,1265,1,17,60,874,796,1,17,60,859,15,1450,576,472,310,77
