precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLTEANU LIDIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BLIDARU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","VLĂDULESCU PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU ALIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","DOROBANŢU IONEL-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","VIOR DUMITRU-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL TOPLEŢ",343,TOPLEŢ,54387,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:33:52",1163,1127,1,30,5,697,662,0,30,5,675,22,1238,519,37,321,134,110,60,13
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ BÂRZA",344,TOPLEŢ,54387,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:32",477,460,0,11,6,477,460,0,11,6,458,19,1080,603,11,171,81,151,41,3
