precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP DARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRIŞ DUMITRU-CRISTIAN-FORȚA DREPTEI-voturi","POP NADIA-MARIA-PARTIDUL VERTICALA NOUĂ-voturi","CÎMPEAN CORNELIA-PARTIDUL PATRIOȚILOR-voturi","ROPAN MIHAI-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PONDE ELENA-SIMONA-PARTIDUL ECOLOGIST ROMÂN-voturi","IVAN DAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FILIP MARIANA-FLORENTINA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","IVAŞCO ALINA-PARTIDUL S.O.S. ROMÂNIA-voturi","PINTÉR ZSOLT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞTEŢCO GABRIEL-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ZETEA GABRIEL-VALER-PARTIDUL SOCIAL DEMOCRAT-voturi","MORARIU CĂLIN-TEODOR-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",12,"MUNICIPIUL BAIA MARE",106318,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 13:22:47",907,895,1,11,0,418,407,0,11,0,409,9,1000,582,14,19,41,1,1,14,58,4,4,62,91,93,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",11,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:28:37",1037,1031,2,4,0,457,453,0,4,0,447,10,1100,643,15,12,40,2,5,6,77,3,6,55,104,111,11
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",10,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:21:18",928,920,4,4,0,398,394,0,4,0,387,11,1000,602,15,14,30,1,1,12,74,6,10,51,75,90,8
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ CU CLASELE I-VIII",444,"VIŞEU DE JOS",109504,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:24:20",1276,1256,0,9,11,672,652,0,9,11,636,36,1431,759,52,1,4,0,0,1,17,10,8,1,284,257,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",39,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:07:12",1366,1359,0,7,0,562,555,0,7,0,553,9,1500,938,41,13,63,5,4,5,72,4,14,27,111,192,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",40,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:40:44",1336,1328,0,8,0,503,495,0,8,0,492,11,1500,997,37,19,80,0,4,7,72,4,11,24,79,146,9
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",41,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 12:14:13",1432,1427,0,5,0,547,542,0,5,0,529,18,1600,1053,39,12,65,2,7,11,55,5,14,34,117,163,5
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „DRAGOȘ VODĂ”",346,MOISEI,108348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:50:13",1369,1351,2,10,6,707,691,0,10,6,662,45,1500,793,62,16,2,4,2,5,23,3,12,0,274,256,3
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „DRAGOȘ VODĂ”",347,MOISEI,108348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:02:05",972,952,6,14,0,488,474,0,14,0,467,21,1000,512,36,3,0,4,0,2,16,5,12,2,215,168,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",3,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:48:11",1670,1649,10,11,0,810,799,0,11,0,784,26,1800,990,48,17,77,1,7,10,89,4,20,70,189,240,12
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",4,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:20:06",1812,1794,3,14,1,852,837,0,14,1,831,21,1900,1048,49,33,84,3,9,15,123,7,10,85,202,207,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",16,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 23:34:45",1109,1091,8,10,0,489,479,0,10,0,469,18,1200,711,20,13,54,0,2,8,66,6,9,95,77,118,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",17,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 12:28:58",1002,988,3,11,0,443,432,0,11,0,406,23,1100,657,24,14,38,1,2,8,59,2,8,57,70,116,7
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „GHEORGHE LUPAN”",324,GROŞI,106363,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:25:48",1544,1510,3,26,5,880,848,1,26,5,861,19,1600,720,69,8,41,0,3,15,63,2,13,11,412,215,9
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN HOREA”",344,MOISEI,108348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:19:30",1611,1599,0,3,9,884,872,0,3,9,858,26,1800,916,76,8,3,3,1,4,12,15,11,5,400,318,2
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",127,"ORAŞ BAIA SPRIE",106684,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:38:00",1002,991,2,9,0,553,544,0,9,0,506,46,1000,448,44,10,0,0,5,7,38,3,9,14,197,173,6
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",128,"ORAŞ BAIA SPRIE",106684,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:29",1290,1272,2,9,7,534,518,0,9,7,512,22,1500,966,77,2,38,3,4,5,45,35,7,43,84,155,14
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",129,"ORAŞ BAIA SPRIE",106684,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:36:46",1262,1255,1,4,2,571,565,0,4,2,549,22,1400,829,42,4,46,3,1,11,51,23,14,23,138,181,12
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",32,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 11:58:41",839,831,0,8,0,319,311,0,8,0,318,1,897,578,22,7,36,1,4,10,51,2,11,24,49,96,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",34,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:19:08",1149,1134,0,15,0,433,418,0,15,0,416,17,1300,867,36,11,34,1,4,12,46,5,22,23,61,155,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",33,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:38:57",1288,1280,0,7,1,488,480,0,7,1,468,20,1400,912,28,15,78,5,3,14,68,7,14,48,81,102,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALA ”ION POPESCU DE COAȘ”",281,COAŞ,179837,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:24:11",1211,1109,2,52,48,922,821,1,52,48,891,31,1298,376,84,16,13,3,2,4,57,2,9,6,184,509,2
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „KOS KAROLY”",205,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:31:41",683,639,0,6,38,472,428,0,6,38,464,8,700,228,5,1,0,0,0,1,1,0,0,309,11,136,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „LAURENŢIU ULICI”",383,"RONA DE JOS",108614,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:57:46",1718,1651,1,7,59,1060,994,0,7,59,1012,48,1822,762,104,1,1,0,0,41,10,1,21,1,279,552,1
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",67,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:17:24",1658,1642,6,9,1,835,825,0,9,1,811,24,1800,965,49,25,90,5,4,7,91,3,8,101,191,231,6
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",65,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:24:08",1101,1089,3,9,0,523,514,0,9,0,511,12,1200,677,17,15,65,2,2,8,70,2,9,68,116,125,12
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",66,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:59:40",1018,986,17,11,4,463,448,0,11,4,448,15,1100,637,22,5,53,1,3,10,59,1,2,53,100,132,7
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",68,"MUNICIPIUL BAIA MARE",106318,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 23:22:27",1516,1492,14,10,0,593,583,0,10,0,581,12,1600,1007,50,16,82,3,3,16,76,3,11,33,130,153,5
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ ”LUCIAN BLAGA” CORP C",316,FĂRCAŞA,108106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:05",1506,1441,4,36,25,1013,948,4,36,25,985,28,1600,587,56,6,20,1,5,3,30,0,15,8,426,413,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",156,"ORAŞ SĂLIŞTEA DE SUS",108892,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:25:31",1511,1494,1,12,4,645,629,0,12,4,610,35,1700,1055,36,85,2,4,4,11,29,11,12,5,104,306,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU” LOCAL CENTRU 2",157,"ORAŞ SĂLIŞTEA DE SUS",108892,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:35",1028,1021,0,7,0,452,445,0,7,0,417,35,1100,648,35,69,0,2,2,17,21,19,7,2,30,213,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",58,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:07",1187,1181,0,6,0,535,529,0,6,0,517,18,1300,765,41,6,77,2,14,9,29,3,7,8,123,194,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",57,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:05",1250,1243,1,6,0,592,586,0,6,0,569,23,1400,808,52,15,92,2,7,10,46,4,13,9,90,224,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIRCEA VULCANESCU”",241,BÂRSANA,107314,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:25:32",1447,1429,0,2,16,768,750,0,2,16,729,28,1615,847,31,1,2,0,4,4,2,5,6,2,282,390,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIRCEA VULCĂNESCU”",242,BÂRSANA,107314,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:47:55",1173,1161,0,4,8,637,625,0,4,8,628,9,1290,653,20,4,4,4,4,1,8,6,17,3,203,354,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",8,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 11:54:50",1564,1550,9,5,0,761,756,0,5,0,740,21,1700,939,38,32,64,2,8,12,111,6,21,102,155,183,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",9,"MUNICIPIUL BAIA MARE",106318,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 22:53:09",1492,1420,2,40,30,646,609,0,11,26,618,28,1600,954,48,19,66,5,5,9,118,1,10,61,121,145,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",56,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:28",1319,1303,9,7,0,565,558,0,7,0,522,43,1400,835,57,16,57,2,18,0,33,4,19,39,71,197,9
