precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUIA MARCEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ CHEVEREȘU MARE",354,"CHEVEREŞU MARE",156311,4,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:07",1156,1080,2,59,15,522,446,2,59,15,472,50,1191,669,472
37,TIMIŞ,"ŞCOALA PRIMARĂ DRAGŞINA",355,"CHEVEREŞU MARE",156311,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:37:01",586,555,0,27,4,305,274,0,27,4,260,45,653,348,260
37,TIMIŞ,"ŞCOALA PRIMARĂ VUCOVA",356,"CHEVEREŞU MARE",156311,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:48:04",346,329,2,10,5,171,156,0,10,5,144,27,400,229,144
