precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SURDU NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPA TEODOR-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂLAN CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MARIAN ELENA-voturi","KNALL FLORIN-voturi"
34,SIBIU,"CĂMINUL CULTURAL BRATEIU",252,BRATEIU,144349,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:14:03",1177,1168,6,0,3,632,628,1,0,3,593,39,1280,648,26,27,129,389,22
34,SIBIU,"ŞCOALA GIMNAZIALĂ BRATEIU",253,BRATEIU,144349,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:39:39",869,858,2,2,7,421,412,0,2,7,393,28,950,529,20,46,49,258,20
34,SIBIU,"ŞCOALA GIMNAZIALĂ BUZD",254,BRATEIU,144349,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:27:46",1017,1014,0,3,0,512,509,0,3,0,481,31,1116,604,33,40,62,343,3
