precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VLAD OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","CĂRĂGUŢ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL AUREL VLAICU",206,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:28:43",790,768,13,7,2,473,460,4,7,2,467,6,850,377,265,202
22,HUNEDOARA,"CĂMINUL CULTURAL BOZES",207,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:35",195,181,1,10,3,140,126,1,10,3,140,0,220,80,85,55
22,HUNEDOARA,"CĂMINUL CULTURAL HOMOROD",211,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:18:23",260,254,0,3,3,186,180,0,3,3,179,7,300,114,89,90
22,HUNEDOARA,"CĂMINUL CULTURAL RENGHET",212,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:36",168,157,0,9,2,124,113,0,9,2,119,5,200,76,73,46
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 GEOAGIU,",205,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:20",1250,1210,2,17,21,909,871,0,17,21,904,5,1300,391,575,329
22,HUNEDOARA,"ŞCOALA PRIMARĂ CIGMAU",208,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:47",89,75,3,10,1,56,45,0,10,1,54,2,100,44,26,28
22,HUNEDOARA,"ŞCOALA PRIMARĂ GELMAR",209,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:35:40",389,370,2,8,9,269,250,2,8,9,261,6,400,11,98,163
22,HUNEDOARA,"SCOALA PRIMARA GEOAGIU BAI",210,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:27",375,356,1,11,7,243,225,0,11,7,239,4,400,157,142,97
22,HUNEDOARA,"ŞCOALA PRIMARĂ VĂLENI",213,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:09:45",51,40,0,8,3,33,22,0,8,3,33,0,79,46,15,18
22,HUNEDOARA,"SEDIUL PRIMARIEI GEOAGIU",204,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:19",1234,1185,5,12,32,780,736,0,12,32,751,29,1300,520,318,433
