precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARNĂUTU CĂTĂLIN-CIPRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SILIŞTEANU TIBERIU-RADU-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"SALA DE SPORT",464,RAST,73905,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:51:11",1327,1290,1,35,1,786,750,0,35,1,735,51,1400,609,572,163
17,DOLJ,"ȘCOALA GIMNAZIALĂ „GHEORGHE JIENESCU”” RAST - SALA DE SPORT",463,RAST,73905,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:35:44",1628,1563,0,51,14,1159,1094,0,51,14,1129,30,1736,577,817,312
