precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOTAŞ ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIAUŞ TIMUR-ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","DARIUS CONSTANTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","GORGOVSCHI CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SANDU NICOLAE-voturi"
38,TULCEA,"CĂMIN CULTURAL",106,"CHILIA VECHE",160172,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:07",771,766,0,1,4,419,414,0,1,4,414,5,844,425,16,154,77,134,33
38,TULCEA,"CĂMIN CULTURAL",105,"CHILIA VECHE",160172,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:46",730,727,1,0,2,397,394,1,0,2,391,6,796,399,20,149,77,107,38
