precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOAREA DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DRĂGULESCU VICTOR-PARTIDUL SOCIAL DEMOCRAT-voturi","BELGHER ARTUR-LEONIDA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COCONU GEORGIANA-ALINA-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PÎRVULESCU GHEORGHE-PARTIDUL ECOLOGIST ROMÂN-voturi","MILITARU-GREERE OANA-ALEXANDRA-PARTIDUL PRO ROMÂNIA-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ ALIMPEŞTI",126,ALIMPEŞTI,78542,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:38:29",876,834,1,17,24,552,510,1,17,24,543,9,900,348,157,189,95,26,1,75
20,GORJ,"ŞCOALA PRIMARĂ SÎRBEŞTI",127,ALIMPEŞTI,78542,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:06:29",624,598,0,17,9,433,407,0,17,9,419,14,666,233,147,101,96,10,8,57
