precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTEŢI FLORENTIN-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","VICOL CONSTANTIN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CĂTĂU SORIN-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MANOLEA MARIUS-ROBERT-PARTIDUL S.O.S. ROMÂNIA-voturi"
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:23",350,342,0,8,0,157,149,0,8,0,149,8,403,246,72,11,37,29
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:23",490,489,0,1,0,219,218,0,1,0,207,12,550,331,132,28,36,11
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:54:46",590,584,1,3,2,254,248,1,3,2,237,17,600,346,113,22,28,74
37,TIMIŞ,"PRIMĂRIA COMUNEI GIULVĂZ",436,GIULVĂZ,157317,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:16:36",1075,1067,3,3,2,526,521,0,3,2,486,40,1200,674,265,29,169,23
