precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OARGA-NICUŞAN NEGURIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OLTEAN CLAUDIU-LUCIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","GÎNŢA VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BUBUR LENUŢA-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"PRIMĂRIA COMUNEI CRĂCIUNELU DE JOS",238,"CRĂCIUNELU DE JOS",4188,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:06",863,836,1,12,14,592,566,0,12,14,568,24,895,303,21,267,31,249
1,ALBA,"ŞCOALA GIMNAZIALĂ - CRĂCIUNELU DE JOS",239,"CRĂCIUNELU DE JOS",4188,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:07",915,903,0,3,9,613,601,0,3,9,597,16,1036,423,13,213,32,339
