precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SABADÂŞ MARIN-GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BIBAN MIRCEA-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MORAR COSTAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MUREŞAN TRAIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","FĂT IOAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MEŞTER MARIA-ALINA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"CAMINUL CULTURAL DEJ",213,"MUNICIPIUL DEJ",55008,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:37",742,735,0,7,0,397,390,0,7,0,390,7,811,414,28,43,207,26,8,78
13,CLUJ,"CAMINUL CULTURAL SOMCUTU MIC",229,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:15",463,455,0,6,2,221,213,0,6,2,216,5,501,280,80,24,80,10,5,17
13,CLUJ,"CASA CĂSPRIAC",204,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:19",1288,1271,10,6,1,610,603,0,6,1,584,26,1420,810,39,93,178,23,23,228
13,CLUJ,"CLUBUL COPIILOR DEJ",212,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:27",1298,1286,2,10,0,602,592,0,10,0,583,19,1465,863,49,80,217,29,32,176
13,CLUJ,"GRADINITA DE COPII LUMEA PITICILOR",227,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:34",1474,1441,6,4,23,681,653,1,4,23,661,20,1590,909,95,93,274,17,17,165
13,CLUJ,"GRADINITA PARADISUL PITICILOR DEJ",222,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:20",1205,1196,0,9,0,525,516,0,9,0,516,9,1348,823,35,69,201,20,25,166
13,CLUJ,"GRADINITA PITICOT DEJ",219,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:08",871,864,2,5,0,379,374,0,5,0,368,11,968,589,16,66,143,4,14,125
13,CLUJ,"GRADINITA PITICOT DEJ",220,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:42",1250,1243,1,6,0,555,549,0,6,0,546,9,1372,817,52,85,219,9,19,162
13,CLUJ,"GRADINITA PITICOT DEJ",221,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:18",1295,1286,0,8,1,581,572,0,8,1,575,6,1417,836,35,85,239,6,43,167
13,CLUJ,"LICEUL AL.P.ILARIAN DIN DEJ",209,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:47",1447,1438,5,2,2,647,643,0,2,2,630,14,1602,958,47,102,268,32,28,153
13,CLUJ,"LICEUL AL.P.ILARIAN DIN DEJ",210,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:31",1425,1410,4,7,4,668,657,0,7,4,653,15,1551,883,54,117,295,25,16,146
13,CLUJ,"OCOLUL SILVIC DEJ",211,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:56",1284,1273,2,7,2,640,631,0,7,2,628,12,1440,800,55,92,248,49,29,155
13,CLUJ,"PAROHIA GRECO-CATOLICĂ PINTIC",228,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:23",185,166,0,19,0,68,49,0,19,0,67,1,185,117,8,9,20,14,1,15
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ",215,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:56:39",1461,1454,1,6,0,623,617,0,6,0,610,13,1649,1026,36,111,237,20,26,180
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ",214,"MUNICIPIUL DEJ",55008,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:06:49",1310,1303,1,6,0,566,560,0,6,0,548,18,1431,865,42,102,249,7,16,132
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ - CORP B",224,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:50:58",1321,1318,1,2,0,541,539,0,2,0,535,6,1458,917,39,67,215,13,37,164
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ - CORP B",223,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:39",1296,1285,1,9,1,505,495,0,9,1,491,14,1412,907,53,67,190,15,23,143
13,CLUJ,"SCOALA GENERALA NR.1 DEJ",205,"MUNICIPIUL DEJ",55008,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:50:13",1201,1192,0,7,2,589,580,0,7,2,578,11,1320,731,44,90,201,25,30,188
13,CLUJ,"SCOALA GENERALA NR. 5 DEJ",216,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:05",1749,1725,9,14,1,817,802,0,14,1,809,8,1973,1156,62,202,290,11,27,217
13,CLUJ,"SCOALA GENERALA NR.5 DEJ",217,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:44:53",1411,1403,2,6,0,589,583,0,6,0,581,8,1593,1004,44,84,241,19,25,168
13,CLUJ,"SCOALA GENERALA NR.5 DEJ",218,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:31",1331,1327,1,3,0,645,642,0,3,0,633,12,1463,818,49,115,263,22,30,154
13,CLUJ,"SCOALA GENERALA OCNA DEJ",226,"MUNICIPIUL DEJ",55008,4,PART,PRCNCT,P,P_SV,"2024-06-10 11:35:48",1110,1107,0,3,0,555,552,0,3,0,539,16,1218,663,42,65,248,28,17,139
13,CLUJ,"SCOALA GENERALA OCNA DEJ",225,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:55",1010,1002,0,7,1,502,494,0,7,1,496,6,1107,605,39,57,228,17,36,119
13,CLUJ,"SCOALA MIHAI EMINESCU DEJ",206,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:52",807,779,0,3,25,296,268,0,3,25,282,14,859,563,31,79,85,15,8,64
13,CLUJ,"SCOALA MIHAI EMINESCU DEJ",207,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:44",885,875,0,8,2,422,412,0,8,2,407,15,1001,579,28,73,146,11,21,128
13,CLUJ,"SCOALA MIHAI EMINESCU DEJ",208,"MUNICIPIUL DEJ",55008,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:56:17",1552,1538,0,12,2,764,750,0,12,2,745,19,1696,932,58,158,243,27,47,212
