precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",373,"REMETEA CHIOARULUI",108491,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:14",365,347,2,10,6,212,195,1,10,6,209,3,400,188,13,2,104,68,0,21,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",374,"REMETEA CHIOARULUI",108491,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:37",287,272,0,11,4,225,210,0,11,4,219,6,300,75,3,3,72,83,0,54,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",371,"REMETEA CHIOARULUI",108491,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:38",998,949,2,36,11,668,621,0,36,11,650,18,1000,332,20,9,303,213,5,80,20
26,MARAMUREŞ,"ȘCOALA CU CLASELE I-IV",375,"REMETEA CHIOARULUI",108491,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:30",231,216,0,13,2,140,125,0,13,2,132,8,300,160,3,2,52,46,1,7,21
26,MARAMUREŞ,"ȘCOALA PRIMARĂ",372,"REMETEA CHIOARULUI",108491,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:13",535,524,1,8,2,332,322,0,8,2,320,12,549,217,8,104,114,74,8,12,0
