precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALCAZ IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","COADĂ MIHAI-MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","DĂSCĂLESCU MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
4,BACĂU,"ŞCOALA CU CLASELE I-IV BRAD",260,BEREŞTI-BISTRIŢA,21249,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:33",152,146,1,1,4,91,86,0,1,4,87,4,200,109,50,34,3
4,BACĂU,"ŞCOALA CU CLASELE I-IV CLIMEŞTI",261,BEREŞTI-BISTRIŢA,21249,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:59",231,229,0,2,0,145,143,0,2,0,136,9,200,55,62,67,7
4,BACĂU,"SCOALA CU CLASELE I-IV PĂDURENI",262,BEREŞTI-BISTRIŢA,21249,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:02",364,358,0,5,1,179,173,0,5,1,173,6,397,218,80,87,6
4,BACĂU,"SCOALA GIMNAZIALA ”VASILE BORCEA”",259,BEREŞTI-BISTRIŢA,21249,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:11",941,928,1,0,12,511,499,0,0,12,495,15,1013,502,257,200,38
