precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOCEAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOTEZAN VALER-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞĂULEAN ADRIAN-PARTIDUL PRO ROMÂNIA-voturi","GAL DOMOKOŞ-voturi"
28,MUREŞ,"CĂMINUL CULTURAL BALDA",184,"ORAŞ SĂRMAŞU",119242,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:40:08",905,887,2,11,5,555,539,0,11,5,532,23,983,428,208,309,9,6
28,MUREŞ,"CĂMINUL CULTURAL SĂRMĂŞEL",187,"ORAŞ SĂRMAŞU",119242,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:30",600,588,0,7,5,377,365,0,7,5,372,5,623,246,134,228,7,3
28,MUREŞ,"CĂMINUL CULTURAL SĂRMĂŞEL GARĂ",186,"ORAŞ SĂRMAŞU",119242,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:00",532,514,1,5,12,326,308,1,5,12,315,11,589,263,72,240,1,2
28,MUREŞ,"CĂMINUL CULTURAL VIŞINELU",188,"ORAŞ SĂRMAŞU",119242,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:18",343,334,1,5,3,223,215,0,5,3,221,2,376,153,143,76,2,0
28,MUREŞ,"LICEUL TEORETIC ”SAMUIL MICU” SĂRMAŞU",182,"ORAŞ SĂRMAŞU",119242,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:50",792,779,1,9,3,462,450,0,9,3,446,16,871,409,103,330,2,11
28,MUREŞ,"LICEUL TEORETIC ”SAMUIL MICU” - ŞCOALA GIMNAZIALĂ SĂRMAŞU",183,"ORAŞ SĂRMAŞU",119242,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:57:34",984,976,0,7,1,601,593,0,7,1,568,33,1070,461,174,366,8,20
28,MUREŞ,"SALĂ SPORT SĂRMAŞU",181,"ORAŞ SĂRMAŞU",119242,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:39",1101,1073,0,22,6,660,632,0,22,6,645,15,1193,533,202,426,4,13
28,MUREŞ,"ŞCOALA PRIMARĂ LARGA",185,"ORAŞ SĂRMAŞU",119242,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:50:03",149,136,0,11,2,84,71,0,11,2,83,1,160,76,47,31,4,1
