precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”D. RĂDULESCU” OARJA",416,OARJA,17824,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:15",1426,1377,0,15,34,912,863,0,15,34,888,24,1600,688,307,72,448,61
3,ARGEŞ,"ŞCOALA PRIMARĂ OARJA SAT",417,OARJA,17824,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:43",823,803,0,1,19,526,506,0,1,19,511,15,856,330,152,22,294,43
