precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OPREA VASILE-LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","RÎNJA IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CĂTANĂ STELIAN-DORU-PARTIDUL NAȚIONAL LIBERAL-voturi","MÁRK ENDRE-DEZSŐ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FARCAŞ MIHAI-DAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
28,MUREŞ,"CĂMINUL CULTURAL ”IERNUŢENI”",97,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:48:16",1382,1366,7,3,6,693,684,0,3,6,685,8,1500,807,121,18,159,322,65
28,MUREŞ,"CASA DE CULTURĂ DR. ”EUGEN NICOARA”",108,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:27:17",1164,1129,2,4,29,562,529,0,4,29,546,16,1270,708,64,9,131,298,44
28,MUREŞ,"CLUBUL COPIILOR",87,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:44:08",1360,1347,3,5,5,694,684,0,5,5,680,14,1500,805,97,7,172,350,54
28,MUREŞ,"COLEGIUL ”PETRU MAIOR”",90,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:48:48",1915,1899,3,5,8,925,912,0,5,8,915,10,2100,1175,161,23,217,431,83
28,MUREŞ,"COLEGIUL ”PETRU MAIOR”",91,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:18:35",1487,1482,1,2,2,682,678,0,2,2,669,13,1650,968,96,21,156,336,60
28,MUREŞ,"COLEGIUL”PETRU MAIOR”",92,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:31:57",992,989,0,3,0,429,426,0,3,0,426,3,1100,671,76,15,105,196,34
28,MUREŞ,"GRĂDINITA CU PROGRAM NORMAL NR.1 REGHIN",106,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:54",1046,1025,7,10,4,470,456,0,10,4,461,9,1150,680,53,8,98,267,35
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.3",105,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:46",1049,1041,2,4,2,580,574,0,4,2,568,12,1150,570,95,14,151,230,78
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.3",104,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:36:22",1266,1262,0,3,1,680,676,0,3,1,666,14,1390,710,97,12,176,280,101
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",100,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:01:40",1818,1808,1,6,3,897,891,0,6,0,871,26,2000,1102,102,20,213,473,63
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",96,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:43:01",938,929,0,5,4,401,392,0,5,4,393,8,1050,649,67,35,62,196,33
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",95,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:46",1029,1017,3,8,1,474,465,0,8,1,470,4,1150,676,62,17,81,267,43
28,MUREŞ,"LICEUL TEHNOLOGIC ”IOAN BOJOR”",93,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:31",1544,1535,2,7,0,767,760,0,7,0,751,16,1700,933,105,24,211,331,80
28,MUREŞ,"LICEUL TEHNOLOGIC ”IOAN BOJOR”",94,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:52",1649,1640,0,8,1,781,772,0,8,1,764,17,1800,1019,127,17,189,336,95
28,MUREŞ,"LICEUL TEHNOLOGIC ”LUCIAN BLAGA”",89,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:09:25",1364,1351,7,6,0,683,677,0,6,0,663,20,1500,817,91,14,120,368,70
28,MUREŞ,"LICEUL TEHNOLOGIC ”LUCIAN BLAGA”",88,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:17:42",1601,1594,0,5,2,879,872,0,5,2,866,13,1750,871,108,30,222,402,104
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CEUŞIANU”",86,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:55:32",1359,1352,1,6,0,630,624,0,6,0,621,9,1500,861,96,19,136,320,50
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AUGUSTIN MAIOR”",107,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:04:05",1239,1145,85,9,0,536,527,0,9,0,523,13,1260,724,35,22,123,325,18
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”FLOREA BOGDAN”",102,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:06:59",1338,1318,3,9,8,661,644,0,9,8,634,27,1500,839,82,13,229,261,49
