precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZINICA SILVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MISURA DANA-MARIA-UNIUNEA SALVAȚI ROMÂNIA-voturi","STROIA ANAMARIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FĂCĂOANU DANIELA-SĂNDIŢA-PARTIDUL NAȚIONAL LIBERAL-voturi"
18,GALAŢI,"SCOALA GIMNAZIALĂ ”MIHAIL ŞI GAVRIL” M.KOGĂLNICEANU",400,SMÂRDAN,77224,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:16",965,960,0,3,2,479,474,0,3,2,468,11,1047,568,284,7,28,149
18,GALAŢI,"ŞCOALA GIMNAZIALĂ SFÂNTA CUVIOASA PARASCHEVA",398,SMÂRDAN,77224,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:52",1197,1191,1,4,1,585,580,0,4,1,579,6,1320,735,349,11,27,192
18,GALAŢI,"ȘCOALA GIMNAZIALĂ SFÂNTA CUVIOASA PARASCHEVA",397,SMÂRDAN,77224,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:34",1499,1494,0,0,5,768,763,0,0,5,751,17,1638,870,403,17,33,298
18,GALAŢI,"SCOALA PRIMARĂ NR.1 CIŞMELE",399,SMÂRDAN,77224,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:29",1275,1263,2,3,7,671,661,0,3,7,648,23,1401,730,357,10,63,218
