precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIULEI CSABA-IANOS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞOAITA OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMIN CULTURAL CLOAȘTERF",496,SASCHIZ,119206,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:00:51",150,145,0,5,0,76,71,0,5,0,74,2,170,94,19,55
28,MUREŞ,"CĂMIN CULTURAL MIHAI VITEAZU",497,SASCHIZ,119206,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:17",252,249,0,3,0,128,125,0,3,0,111,17,268,140,22,89
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”ION DACIAN”",495,SASCHIZ,119206,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:00",1385,1367,5,6,7,623,609,1,6,7,589,34,1510,887,141,448
