precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÂMPULUNGEANU ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PERŢEA VOICA-PARTIDUL NAȚIONAL LIBERAL-voturi","TOMA ANDREI-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUDOR BOGDAN-MARIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","BRÎNDUŞOIU COSTEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR.3 LUPSANU",166,LUPŞANU,93931,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:12:55",469,461,0,6,2,271,263,0,6,2,261,10,485,214,194,23,15,16,13
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR.4 NUCETU",167,LUPŞANU,93931,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:16:57",486,484,1,1,0,259,258,0,1,0,252,7,531,270,193,11,17,12,19
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1 RADU-VODA",169,LUPŞANU,93931,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:59",904,891,0,13,0,493,480,0,13,0,477,16,991,498,320,22,17,11,107
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.1 PLEVNA",168,LUPŞANU,93931,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:39",479,472,1,6,0,180,174,0,6,0,174,6,533,353,126,7,31,2,8
