precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FUICĂ-HAISLER ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ADĂSCĂLIŢII FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂDUCIOIU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
18,GALAŢI,"CĂMINUL CULTURAL DIN SATUL NEGRILEŞTI",359,NEGRILEŞTI,77579,2,PART,PRCNCT,P,P_SV,"2024-06-13 14:25:15",1455,1326,1,43,85,808,682,1,42,83,789,19,1433,625,714,58,17
18,GALAŢI,"SCOALA PRIMARĂ SLOBOZIA BLĂNEASA",360,NEGRILEŞTI,77579,3,PART,PRCNCT,P,P_SV,"2024-06-13 14:07:27",871,805,0,45,21,553,487,0,45,21,537,16,900,347,490,28,19
