precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",268,CĂLINEŞTI,107546,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:18",1099,1076,0,7,16,696,673,0,7,16,668,28,1200,504,48,286,179,31,16,17,9,82
26,MARAMUREŞ,"CĂMINUL CULTURAL",267,CĂLINEŞTI,107546,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:48",358,347,0,6,5,198,187,0,6,5,196,2,400,202,10,94,49,22,15,6,0,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",266,CĂLINEŞTI,107546,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:19:29",743,690,3,9,41,740,690,0,9,41,714,26,1245,505,73,197,247,36,79,43,39,0
