precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION DRAGOŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","FURDUI LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIE ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOTOC OCTAVIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANTON CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","SCARLAT VALENTIN-GEORGEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",16,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:24",969,949,2,6,12,432,414,0,6,12,421,11,1073,641,145,43,172,25,20,16
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",15,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:29",1095,1087,2,5,1,503,497,0,5,1,496,7,1215,712,176,67,184,43,15,11
38,TULCEA,"PUNCT DE ÎNCASARE TAXE ŞI IMPOZITE LOCALE",28,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:58:37",1566,1556,2,8,0,688,680,0,8,0,680,8,1741,1053,243,70,267,59,22,19
38,TULCEA,"SALA DE SPORT MULTIFUNCŢIONALĂ „DANIEL IULIAN POHARIU”",33,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:06:06",1338,1329,1,8,0,503,495,0,8,0,495,8,1487,984,180,54,181,36,32,12
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CIUCURENCU”",23,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-11 14:46:16",1197,1184,4,7,2,480,471,0,7,2,479,1,1312,832,167,66,182,27,23,14
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CIUCURENCU”",24,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:45:26",1556,1544,6,6,0,601,595,0,6,0,590,11,1710,1109,213,76,209,42,35,15
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN GĂVENEA”",26,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:40",1343,1337,6,0,0,554,554,0,0,0,548,6,1494,940,160,60,254,43,20,11
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN GĂVENEA”",25,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:24:33",1659,1623,0,4,32,751,715,0,4,32,708,7,1978,1083,252,72,272,65,31,16
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN GĂVENEA”",27,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:26",1444,1435,3,6,0,602,596,0,6,0,590,12,1592,990,188,45,275,44,17,21
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",8,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:58",1056,1041,2,6,7,435,422,0,6,7,429,6,1171,736,152,35,176,47,9,10
