precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PATRIOȚILOR-voturi","FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERTICALA NOUĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"CENTRUL CULTURAL ION ȘIUGARIU",178,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:37:21",860,847,0,13,0,513,500,0,13,0,485,28,900,387,12,2,9,9,215,7,1,3,1,5,143,8,10,60
26,MARAMUREŞ,"CENTRUL DE CULTURĂ ȘI ARTĂ",204,"ORAŞ ULMENI",109265,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:40:27",1161,1125,4,13,19,666,634,0,13,19,652,14,1200,534,23,0,63,25,116,1,2,0,12,26,26,15,11,332
26,MARAMUREŞ,"CENTRUL MULTIFUNCŢIONAL",339,"MIREŞU MARE",108268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:56:30",503,496,0,3,4,294,287,0,3,4,289,5,600,306,7,0,4,12,54,1,0,0,4,7,1,4,9,186
26,MARAMUREŞ,"CENTRUL MULTIFUNCȚIONAL",210,"ORAŞ ULMENI",109265,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:36:24",767,748,1,9,9,455,437,0,9,9,441,14,800,345,0,0,3,4,6,3,1,0,1,1,9,1,1,411
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:17:48",1332,1321,1,10,0,430,420,0,10,0,389,41,1500,1070,48,3,19,46,55,5,3,2,3,46,22,7,22,108
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,766,14,2100,1320,139,2,28,49,178,5,7,1,16,101,48,15,21,156
26,MARAMUREŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",188,"ORAŞ TÂRGU LĂPUŞ",106817,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 23:06:56",1426,1399,0,12,15,804,777,0,12,15,784,19,1500,696,23,5,7,76,248,2,6,2,5,7,59,20,10,314
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 23:06:42",1380,1370,2,8,0,475,467,0,8,0,456,19,1500,1025,69,6,17,28,84,4,13,1,12,54,24,17,15,112
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,585,12,1600,1003,109,6,18,45,111,5,5,1,10,69,29,10,11,156
26,MARAMUREŞ,"CENTRUL SOCIAL DE ASIGURARE A SERVICIILOR SOCIALE",337,"MIREŞU MARE",108268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:17",403,391,0,10,2,260,248,0,10,2,254,6,403,143,8,0,1,8,37,3,1,0,0,2,0,0,6,188
