precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
41,VRANCEA,"SCOALA GIMNAZIALA CU CLASELE I-VIII BALESTI",104,BĂLEŞTI,175206,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 13:26:13",715,628,0,21,66,507,420,0,21,66,488,19,763,256,402,86
41,VRANCEA,"SCOALA GIMNAZIALA CU CLASELE I-VIII BALESTI",103,BĂLEŞTI,175206,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 13:02:34",833,729,0,25,79,589,485,0,25,79,564,25,883,294,431,133
