precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MULŢESCU ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIREA ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"ŞCOALA GENERALĂ NR.1",293,RUSĂNEŞTI,128588,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:06:20",752,717,0,16,19,752,717,0,16,19,728,12,1373,633,228,500
30,OLT,"ŞCOALA GENERALĂ NR.2",294,RUSĂNEŞTI,128588,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:57",1218,1184,1,12,21,682,649,0,12,21,661,21,1342,660,211,450
30,OLT,"ŞCOALA JIENI",295,RUSĂNEŞTI,128588,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:44",964,942,0,6,16,560,538,0,6,16,541,19,1078,518,272,269
