precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","FRENŢIU ZAMFIR-DORIN-voturi"
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 12:02:34",1164,1137,1,26,0,616,590,0,26,0,607,9,1300,683,363,5,95,43,22,79
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:07",1928,1907,2,13,6,922,903,0,13,6,895,27,2080,1158,402,91,250,79,58,15
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:33:32",396,386,1,9,0,214,205,0,9,0,202,12,400,186,136,6,15,21,3,21
26,MARAMUREŞ,"CLĂDIRE ADMINISTRATIVĂ",278,CICÂRLĂU,107662,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:39:40",271,257,1,8,5,163,150,0,8,5,157,6,300,137,75,11,28,8,35,0
