precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LANGER NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","TOMA GHEORGHE-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL SĂLĂTRUCU CENTRU",458,SĂLĂTRUCU,18554,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:50",1176,1158,1,3,14,677,660,0,3,14,635,42,1262,585,456,179
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV VĂLENI",459,SĂLĂTRUCU,18554,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:21",522,517,2,0,3,301,298,0,0,3,290,11,600,299,232,58
