precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
20,GORJ,"ŞCOALA CU CLASELE I-IV PĂIŞANI",311,STOINA,82314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:47",722,631,1,88,2,531,440,1,88,2,513,18,677,146,143,270,45,55
20,GORJ,"ȘCOALA PRIMARĂ STOINA",310,STOINA,82314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:10",1272,1170,0,95,7,878,776,0,95,7,853,18,1300,429,321,267,157,108
