precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SĂLĂGEAN ADI-BENIAMIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STRUGARI IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
6,BISTRIŢA-NĂSĂUD,"CENTRUL DE INFORMARE TURISTICA",214,PARVA,34155,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:58",965,945,0,0,20,616,596,0,0,20,602,14,1050,434,153,449
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL PARVA",213,PARVA,34155,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:38",996,986,0,1,9,633,623,0,1,9,608,25,1099,466,159,449
