precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BAZAC ELLY-MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONSTANTINESCU IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MUSTĂŢEA GHEORGHE-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MERLEA SILE-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL FUNDATA",186,PERIEŢI,94161,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:32:02",401,393,1,6,1,219,211,1,6,1,207,12,430,211,13,17,104,73
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ PERIEȚI",185,PERIEŢI,94161,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:37:04",1053,1030,4,13,6,633,610,4,13,6,626,7,1140,507,25,33,492,76
23,IALOMIŢA,"ȘCOALA PRIMARĂ MISLEANU",187,PERIEŢI,94161,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:35:14",686,667,1,9,9,401,382,1,9,9,393,8,740,339,17,4,265,107
23,IALOMIŢA,"ȘCOALA PRIMARĂ PĂLTINIȘU",188,PERIEŢI,94161,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:25:19",928,917,1,7,3,530,519,1,7,3,515,15,1016,486,19,22,315,159
