precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PATRIOȚILOR-voturi"
41,VRANCEA,"SCOALA GIMNAZIALA JARISTEA",195,JARIŞTEA,176506,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:04",1646,1620,1,20,5,867,842,0,20,5,841,26,1791,924,528,227,44,42
41,VRANCEA,"SCOALA PRIMARA NR 2 MARGINEA",196,JARIŞTEA,176506,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:26",745,737,0,5,3,416,408,0,5,3,392,24,815,399,260,76,25,31
41,VRANCEA,"SCOALA PRIMARA PADURENI",197,JARIŞTEA,176506,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:01",394,381,0,10,3,213,200,0,10,3,208,4,420,207,169,24,7,8
41,VRANCEA,"SCOALA PRIMARA SCINTEIA",198,JARIŞTEA,176506,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:50",180,170,0,8,2,112,102,0,8,2,109,2,186,75,73,29,2,5
41,VRANCEA,"SCOALA PRIMARA VARSATURA",199,JARIŞTEA,176506,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:05",493,472,0,15,6,227,206,0,15,6,220,7,524,297,155,41,12,12
