precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",268,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:27:45",1400,1395,1,3,1,626,622,0,3,1,603,23,1500,874,156,85,110,40,212
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",267,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:38:12",1809,1786,9,13,1,1103,1089,0,13,1,984,19,2000,878,306,90,116,49,423
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",269,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:32:32",1143,1135,3,5,0,617,612,0,5,0,588,28,1300,683,188,62,92,26,220
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 1 RÂȘNOV",260,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:44",1407,1401,0,6,0,701,695,0,6,0,659,42,1500,799,199,73,142,52,193
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 1 RÂȘNOV",259,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:30:18",1497,1488,2,6,1,803,796,0,6,1,779,22,1600,799,265,60,108,56,290
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 2 RÂȘNOV",265,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:13",1384,1380,2,0,2,658,656,0,0,2,641,17,1500,842,214,69,97,48,213
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 2 RÂȘNOV",266,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:41",1192,1180,6,3,3,591,584,1,3,3,571,20,1300,709,213,54,99,37,168
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 2 RÂȘNOV",264,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:53",1644,1637,0,7,0,776,769,0,7,0,751,25,1800,1024,211,81,104,55,300
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 3 RÂȘNOV",262,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:00:12",1305,1296,8,0,1,652,651,0,0,1,640,11,1400,749,186,56,96,39,263
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 3 RÂȘNOV",263,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:51",867,861,1,5,0,411,406,0,5,0,401,10,1103,692,45,38,43,13,262
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 3 RÂȘNOV",261,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:16:20",1653,1644,6,2,1,900,897,0,2,1,850,40,1800,910,285,59,205,35,266
