precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
24,IAŞI,"CASA PAROHIALĂ ”SF. NICOLAE” CHIPEREȘTI",741,ŢUŢORA,99922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:46",377,357,1,7,12,227,208,0,7,12,216,11,400,173,9,11,182,14
24,IAŞI,"CASA SOCIALĂ ”SF. VOIEVOZI” OPRIȘENI",742,ŢUŢORA,99922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:27",593,565,0,4,24,353,325,0,4,24,342,11,618,265,12,25,290,15
24,IAŞI,"SCOALA GIMNAZIALĂ ȚUȚORA",740,ŢUŢORA,99922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:20:02",1034,999,0,8,27,543,508,0,8,27,513,30,1100,557,41,31,411,30
