precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONESCU IONUŢ-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IANCU MARIAN-MUGUREL-PARTIDUL SOCIAL DEMOCRAT-voturi"
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3, COCONI",172,MÂNĂSTIREA,104181,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:07",632,614,1,11,6,328,311,0,11,6,317,11,679,351,32,285
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC MATEI BASARAB",171,MÂNĂSTIREA,104181,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:22",1386,1370,0,7,9,762,746,0,7,9,744,18,1514,752,52,692
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC MATEI BASARAB",170,MÂNĂSTIREA,104181,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:27:37",1343,1331,1,2,9,696,684,1,2,9,662,34,1482,786,59,603
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 2 SULTANA",173,MÂNĂSTIREA,104181,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:17",743,722,0,13,8,418,397,0,13,8,401,17,810,392,12,389
