precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ CĂRBUNARI",197,CĂRBUNARI,51840,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:00",526,454,0,54,18,408,336,0,54,18,400,8,563,155,28,51,174,107,17,23
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ CLASELE I-IV ȘI GRĂDINIȚA DE COPII ȘTINĂPARI",198,CĂRBUNARI,51840,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:27:18",264,253,0,0,11,264,253,0,0,11,247,6,319,55,27,24,87,65,24,20
