precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHALACHE MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CHIRILĂ VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","PURICE NELU-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂDUCAN CĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:35:19",1071,1047,1,17,6,623,600,0,17,6,608,15,1157,534,17,381,190,20
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,1,PART,PRCNCT,P,P_SV,"2024-06-10 20:22:19",1025,994,2,22,7,592,563,0,22,7,579,13,1108,516,23,358,179,19
