precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TAŞCĂ VLAD-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PARTENE ŞTEFAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MAFTEI PAUL-CEZAR-PARTIDUL SOCIAL DEMOCRAT-voturi","ENACHE DANIELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
18,GALAŢI,"CĂMINUL CULTURAL BĂLĂŞEŞTI",227,BĂLĂŞEŞTI,75613,3,PART,PRCNCT,P,P_SV,"2024-06-12 17:01:46",926,888,0,1,37,544,506,0,1,37,528,16,987,443,61,8,442,17
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 CIUREȘTII NOI",229,BĂLĂŞEŞTI,75613,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:36",432,411,0,6,15,233,216,0,6,11,227,6,469,236,12,20,173,22
18,GALAŢI,"SCOALA GENERALĂ CIUREŞTI",228,BĂLĂŞEŞTI,75613,2,PART,PRCNCT,P,P_SV,"2024-06-12 16:46:27",225,205,0,8,12,128,108,0,8,12,118,2,226,98,3,1,81,33
18,GALAŢI,"SCOALA GENERALĂ PUPEZENI",230,BĂLĂŞEŞTI,75613,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:24:14",162,149,0,5,8,88,75,0,5,8,84,4,164,76,11,1,67,5
