precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LARI ANCHIDIM-PARTIDUL SOCIAL DEMOCRAT-voturi","SAS DORU-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANGELINI IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI SALVA",237,SALVA,34397,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:30:12",1083,994,0,39,50,825,736,0,39,50,804,19,1098,275,299,475,30
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PROFESIONALĂ ”TIBERIU MORARIU”",238,SALVA,34397,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:07:43",1254,1182,1,52,19,921,849,1,52,19,901,20,1300,379,334,558,9
