precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","MASLOVSCHI DUMITRU-CRISTIN-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL VALEA MOLDOVEI",515,"VALEA MOLDOVEI",150891,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:36:59",1434,1375,2,18,39,955,898,0,18,39,914,24,1600,662,86,602,176,13,37
35,SUCEAVA,"GRĂDINIȚA MIRONU",516,"VALEA MOLDOVEI",150891,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:10:26",1763,1729,1,15,18,1171,1138,0,15,18,982,151,1896,762,75,581,297,29,0
