precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BAN SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SFERLE MIHAI-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMINUL CULTURAL",340,"COCIUBA MARE",28763,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:06",477,415,1,40,21,336,275,0,40,21,329,7,459,123,84,245
5,BIHOR,"CĂMINUL CULTURAL",338,"COCIUBA MARE",28763,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:57",752,714,0,16,22,515,478,0,16,21,501,14,785,270,121,380
5,BIHOR,"CĂMINUL CULTURAL",339,"COCIUBA MARE",28763,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:44",638,582,0,29,27,315,259,0,29,27,303,12,642,327,28,275
5,BIHOR,"GRĂDINIȚA PETID",341,"COCIUBA MARE",28763,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:27",587,487,0,69,31,435,335,0,69,31,430,5,466,31,38,392
