precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢARĂLUNGĂ SEBASTIAN-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","FOCŞĂNEANU MARIANA-SEVERINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FILIMON IOSIF-CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"SCOALA GENERALA",388,RĂZBOIENI,123969,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:05:58",165,153,0,3,9,165,153,0,3,9,161,4,302,137,94,3,64
29,NEAMŢ,"SCOALA GENERALA",390,RĂZBOIENI,123969,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:26:53",297,270,3,2,22,213,188,1,2,22,208,5,433,220,88,9,111
29,NEAMŢ,"SCOALA GENERALA CU CLASELE I-IV NR. 3",389,RĂZBOIENI,123969,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:19",475,449,0,6,20,252,226,0,6,20,243,9,456,204,112,15,116
29,NEAMŢ,"SCOALA GENERALA CU CLASELE I-VIII",387,RĂZBOIENI,123969,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:08:31",591,565,0,5,21,397,372,0,5,20,385,12,600,203,181,23,181
