precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL VASILAȚI",229,VASILAŢI,105829,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:16:47",1818,1733,0,85,0,1222,1137,0,85,0,1163,59,1916,694,92,722,28,321
12,CĂLĂRAŞI,"ȘCOALA CONSTANTIN BRÂNCOVEANU, LOCALUL CU ETAJ",228,VASILAŢI,105829,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:19:55",969,895,0,50,24,585,511,0,50,24,566,19,980,395,161,305,31,69
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NUCI",230,VASILAŢI,105829,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:55:04",304,277,0,19,8,195,168,0,19,8,185,10,308,113,20,102,8,55
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ POPEȘTI",231,VASILAŢI,105829,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:09",279,259,0,15,5,159,139,0,15,5,152,7,286,127,11,86,12,43
