precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAMŢU MARCEL-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUHUŢ FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞIPEŢAN MARINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","WYHNALEK ALINA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL GAD",408,GHILAD,159400,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:08",127,120,0,6,1,71,64,0,6,1,70,1,200,129,1,49,16,4
37,TIMIŞ,"ŞCOALA GIMNAZIALA GHILAD",407,GHILAD,159400,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:02:58",1619,1604,1,14,0,962,948,0,14,0,931,30,1694,733,99,365,396,71
