precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGOI LUIGI-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LUPU SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂNESCU NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
3,ARGEŞ,"CLUBUL TINERETULUI PRIBOIENI",440,PRIBOIENI,18242,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:24",1502,1473,4,2,23,1049,1024,0,2,23,1029,20,1600,551,193,792,44
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”C. RĂDULESCU CODIN”",439,PRIBOIENI,18242,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:52:56",1383,1353,0,4,26,955,925,0,4,26,933,22,1541,586,232,668,33
