precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PAŞCA IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MEZA ALIN-CLAUDIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BABĂU IOAN-LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","HOTNOGA IONEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","CANALAŞ SERGIU-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","BARNA ROZALIA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BABĂU DAN-ŞTEFAN-PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PEK IOSIF-voturi"
5,BIHOR,"CĂMIN CULTURAL GIRIŞU DE CRIŞ",398,"GIRIŞU DE CRIŞ",29467,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:24:04",1261,1224,1,24,12,854,818,0,24,12,825,29,1340,485,214,31,149,30,1,6,393,1
5,BIHOR,"CĂMIN CULTURAL TĂRIAN",400,"GIRIŞU DE CRIŞ",29467,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:41:54",974,961,0,9,4,651,638,0,9,4,612,4,1055,392,198,18,58,9,5,3,318,3
5,BIHOR,"GRĂDINIȚA TĂRIAN",399,"GIRIŞU DE CRIŞ",29467,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:22",1010,981,3,17,9,642,616,0,17,9,632,10,1078,436,159,20,206,8,1,3,208,27
