precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 21:45:28",1506,1494,1,9,2,982,971,0,9,2,909,52,1600,639,156,529,59,25,140
25,ILFOV,"SCOALA GIMNAZIALA NR. 1",192,COPĂCENI,179588,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:11",1022,1014,1,5,2,767,760,0,5,2,740,27,1138,371,100,548,20,6,66
