precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ISDRUGĂ CRISTINEL-LAURENŢIU-voturi"
20,GORJ,"PRIMĂRIA STĂNEŞTI",305,STĂNEŞTI,82136,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:01:27",1189,1174,0,14,1,835,820,0,14,1,807,28,1300,465,134,397,63,79,37,97
20,GORJ,"ŞCOALA GENERALĂ CURPEN",306,STĂNEŞTI,82136,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:07",735,726,0,7,2,485,476,0,7,2,464,21,804,319,88,249,29,14,81,3
